id	surname	firstname	name	alternativename	province	politicalparty	fullname	fathername	picture	website	email and homepage 1	parliament_start_date	email and homepage 2	email and homepage 3	email and homepage 4	contact_info
45	Γερασιμιδου	 Ελενη	Ελένη Γερασιμίδου		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	kke	Γερασιμίδου Νικολάου Ελένη	Νικολάου			kke@parliament.gr	17/6/2014				Αθήνα, Λεωφ. Ηρακλείου 145, T.K. 14231, τηλ: 210 2592111, 210 3708168 FAX: 210 2592097, 3707410, 3707420 Θεσσαλονίκη, Εγνατίας 89, T.K. 54635, τηλ: 2310 286546, FAX: 2310 288233
46	Γερμανιδης	 Αθανασιος	Αθανάσιος Γερμανίδης 		ΦΛΩΡΙΝΗΣ	syriza	Γερμανίδης Ιωάννη Αθανάσιος	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/GERMANIDIS.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=94938f65-3e82-4406-9a65-575290a2c004	germanidis@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557Τηλ: 23850 22424, Fax: 23850 22425
47	Γερμενης	 Γεωργιος	Γεώργιος Γερμενής 		Β' ΑΘΗΝΩΝ	xa	Γερμενής Σπυρίδωνος Γεώργιος	Σπυρίδωνος			g.germenis@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
48	Γεροβασιλη	 Ολγα	Όλγα Γεροβασίλη		ΑΡΤΗΣ	syriza	Γεροβασίλη Βασιλείου Όλγα	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/gerovasiliolga.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=e14d5e43-6ac0-47e3-a5b4-633dfb423dd5	o.gerovasili@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,
49	Γεροντοπουλος	 Κυριακος	Κυριάκος Γεροντόπουλος		ΕΒΡΟΥ	nd	Γεροντόπουλος Χριστόδουλου Κυριάκος	Χριστόδουλου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/gerontopoulos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=4b082b99-ee2a-40be-ae78-7d50df41843e	akis@gerontopoulos.gr;	17/6/2014	http://www.gerontopoulos.gr			Αθήνα, Σέκερη 1, Τ.Κ. 10671,; τηλ: 210 3675841-2, FAX: 210 3675642; Αλεξανδρούπολη, Λ. Δημοκρατίας 288, Τ.Κ. 68100, τηλ: 25510 29703, FAX: 25510 21966; Ορεστιάδα, Προκού 2, Τ.Κ. 68200, τηλ: 25520 28480, FAX: 25520 28487
50	Γεωργαντας	 Γεωργιος	Γεώργιος Γεωργαντάς 		ΚΙΛΚΙΣ	nd	Γεωργαντάς Παύλου Γεώργιος	Παύλου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/georgantas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3c5b5218-47ac-4024-93a9-0e85b3ad8a52	g.georgantas@parliament.gr;	17/6/2014	http://www.georgantas-georgios.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709635, FAX: 210 3709639; Κιλκίς, 21ης Ιουνίου 143, Τ.Κ.61100,; τηλ: 23410 76776, FAX: 23410 79921
51	Γεωργιαδης	 Σπυριδων-αδωνις	Σπυρίδων-Άδωνις Γεωργιάδης		Β' ΑΘΗΝΩΝ	nd	Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις	Αθανασίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/GeorgiadisSpiridonAdonis8_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=60d8e525-9b5d-4c91-8b20-438333549712	g-adonis@otenet.gr	17/6/2014				Αθήνα, Ακαδημίας 84 , Τ.Κ. 10678,; τηλ: 210 3800150, FAX: 210 3800425
52	Γεωργοπουλου-Σαλταρη	 Ευσταθια	Ευσταθία Γεωργοπούλου-Σάλταρη 	Έφη Γεωργοπουλου-Σαλταρη	ΗΛΕΙΑΣ	syriza	Γεωργοπούλου-Σαλτάρη Ευσταθίου Ευσταθία( Έφη)	Ευσταθίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/foto-Georgopoulou.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=5880009e-fd9a-4ca7-9bdc-34d5b4156f3e	efikeram@yahoo.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62, τηλ: 210 3706105-6305, FAX: 210 3706505
53	Γιακουματος	 Γερασιμος	Γεράσιμος Γιακουμάτος		Β' ΑΘΗΝΩΝ	nd	Γιακουμάτος Χαραλάμπους Γεράσιμος	Χαραλάμπους	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/giakoumatos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=68ba70f6-5f47-4938-afe4-345311f269fe	giakoumatosge@gmail.com;	17/6/2014	http://www.giakoumatos.gr			Αθήνα, Καψάλη 6, ΤΚ: 10674; τηλ:210 7296002-4 ,FAX: 210 7296023
54	Γιαννακακη	 Μαρια	Μαρία Γιαννακάκη		Β' ΠΕΙΡΑΙΩΣ	dimar	Γιαννακάκη Γεωργίου Μαρία	Γεωργίου			m.giannakaki@parliament.gr	17/6/2014	myannakaki@hotmail.com			Βουλή των Ελλήνων, Βασ. Σοφίας2, Τ.Κ. 10021, τηλ: 210 3707558, FAX: 210 3707559 Κορυδαλλός, Δ. Μαλαγαρδή 46, Τ.Κ. 18120
55	Γιαταγανα	 Χρυσουλα-Μαρια	Χρυσούλα-Μαρία Γιαταγάνα		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	anel	Γιαταγάνα Θεοδώρου Χρυσούλα - Μαρία	Θεοδώρου			xgiatagan@gmail.com	17/6/2014	ch.giatagana@parliament.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62, τηλ: 210 3706145, 3706345, FAX: 210 3706545 Θεσσαλονίκη, Σαπφούς 1, ΤΚ: 54627, τηλ: 2310 553313, FAX: 2310 553308
56	Γιοβανοπουλος	 Κωνσταντινος	Κωνσταντίνος Γιοβανόπουλος 		ΗΜΑΘΙΑΣ	anel	Γιοβανόπουλος Γεωργίου Κωνσταντίνος	Γεωργίου			giovanomos@gmail.com	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62, τηλ: 210 3706393, FAX: 210 3706593 Βέροια, Κεντρικής 4, Τ.Κ. 59100, τηλ: 2331070677, FAX: 23310 70677
57	Γκερεκου	 Αντζελα	Άντζελα Γκερέκου		ΚΕΡΚΥΡΑΣ	pasok	Γκερέκου Ιωάννη Αγγελική	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/gerekouaggeliki_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=9342c0dd-ffd3-46d6-83c9-632238aff77b	a.gkerekou@parliament.gr	17/6/2014				Κέρκυρα: Ευγενίου Βουλγάρεως 61, Τ.Κ: 49100, Τ: 2661028250, Fax: 2661028350. Αθήνα: Μητροπόλεως 1, Τ.Κ: 10557, T: 2103709422, Fax: 2103709420.
58	Γκιοκας	 Ιωαννης	Ιωάννης Γκιόκας		ΑΤΤΙΚΗΣ	kke						17/6/2014				
59	Γκιουλεκας	 Κωνσταντινος	Κωνσταντίνος Γκιουλέκας		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Γκιουλέκας Πέτρου Κωνσταντίνος	Πέτρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Gkioulekas_001.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=a4cf96e1-8984-422d-8519-b5bf62479e0d	info@gioulekas.gr;	17/6/2014	gioulekas@parliament.gr;	http://www.gioulekas.gr		Αθήνα, Ανδρέα Παπανδρέου 37, Μαρούσι, Τ.Κ. 15180, τηλ: 210 3443517, 3442865 και FAX: 210 3443383.; Θεσσαλονίκη, Αγίας Σοφίας 46, ΤΚ 54623,; τηλ: 2310 271510, 2310 271610, FAX: 2310 270300
60	Γκοκας	 Χρηστος	Χρήστος Γκόκας		ΑΡΤΗΣ	pasok	Γκόκας Ναπολέοντα Χρήστος	Ναπολέοντα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/gokas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=13eb706f-936e-45dc-bbf2-fd4f3b887759	ch.gokas@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709431-2, FAX: 210 3709430 Άρτα, Σκουφά 34, Τ.Κ. 47100, τηλ: 26810 21320, FAX: 26810 70547
61	Γλεζος	 Εμμανουηλ	Εμμανουήλ Γλέζος		ΕΠΙΚΡΑΤΕΙΑΣ	syriza						17/6/2014				
62	Γρεγος	 Αντωνιος	Αντώνιος Γρέγος 		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	xa	Γρέγος Βασιλείου Αντώνιος	Βασιλείου			a.gregos@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
63	Γρηγορακος	 Λεωνιδας	Λεωνίδας Γρηγοράκος		ΛΑΚΩΝΙΑΣ	pasok	Δαβάκης Παναγιώτη Αθανάσιος	Παναγιώτη	http://www.hellenicparliament.gr/UserFiles/ead3237d-2c71-43a9-b9ae-057fcbd6268d/%ce%b8%ce%b1%ce%bd%ce%ac%cf%83%ce%b7%cf%82%20%ce%b4%ce%b1%ce%b2%ce%ac%ce%ba%ce%b7%cf%82.bmp	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=dabb8e91-af53-44d4-9f8e-7a449f5aac54	a.davakis@parliament.gr;	17/6/2014	http://www.thanasisdavakis.gr/			Αθήνα, Σέκερη 1, Τ.Κ. 10671,; τηλ: 210 3313740, FAX: 210 3675617.; Σπάρτη, Λυκούργου 89, Τ.Κ. 23100,; τηλ: 27310 25915, FAX: 27310 26410.
64	Δαβακης	 Αθανασιος	Αθανάσιος Δαβάκης		ΛΑΚΩΝΙΑΣ	nd						17/6/2014				
65	Δενδιας	 Νικολαος-Γεωργιος	Νικόλαος-Γεώργιος Δένδιας		ΚΕΡΚΥΡΑΣ	nd	Δένδιας Σπυρίδωνος Νικόλαος - Γεώργιος	Σπυρίδωνος	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/dendias.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7b1e7cd5-7d35-4220-8c7d-cb298943e921	dendias2@otenet.gr;	17/6/2014	minister@minocp.gov.gr;	http://www.nikosdendias.gr		Αθήνα, τηλ.: 210 6988152, 6988154; FAX: 210 6917944; Κέρκυρα, Μάντζαρου 30, Τ.Κ. 49100; τηλ.: 26610 38838, FAX: 26610 80604
66	Δερμεντζοπουλος	 Αλεξανδρος	Αλέξανδρος Δερμεντζόπουλος		ΕΒΡΟΥ	nd						17/6/2014				
67	Δερμιτζακης	 Κωνσταντινος	Κωστής Δερμιτζάκης		ΛΑΣΙΘΙΟΥ	syriza	Δερμιτζάκης Νικολάου Κωνσταντίνος	Νικολάου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Dermitzakis_001.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7512e258-9552-43f0-bbc9-6c4adc7449f4	k.dermitzakis@parliament.gr	17/6/2014				Μητροπόλεως 1, Τ.Κ. 10557,
68	Δημαρας	 Ιωαννης	Ιωάννης Δημαράς		Β' ΑΘΗΝΩΝ	anel	Δημαράς Νικολάου Ιωάννης	Νικολάου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/dimaras.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=0d1f093e-eb27-466b-9f3a-9a9c9191faa2	idimaras@otenet.gr	17/6/2014				Αθήνα, Ανθίμου Γαζή 9, Τ.Κ. 10561,; τηλ: 210 3226445, FAX: 210 3226259
69	Δημας	 Πυρρος	Πύρρος Δήμας		ΕΠΙΚΡΑΤΕΙΑΣ	pasok	Δήμας Βίκτωρος Πύρρος	Βίκτωρος	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kollia-tsaroucha.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=44198c32-4ec3-4644-8903-391c65512702	p.dimas@parliament.gr	17/6/2014	http://www.pyrrosdimas.gr			Αθήνα, Αλ. Σούτσου 24, Τ.Κ. 10671, τηλ: 210 3625544, 3626477, FAX:2103617568.
70	Δημας	 Χριστος	Χρίστος Δήμας		ΚΟΡΙΝΘΙΑΣ	nd	Δήμας Σταύρου Χρίστος	Σταύρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Dimas_3.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=1f400204-b7c2-45d4-9d5d-5f66a0b3621c	christos@dimas.gr;	17/6/2014	http://www.dimas.gr			Αθήνα, Σόλωνος 17, Τ.Κ. 106 71, τηλ: 210 3640716, FAX: 210 3604261
71	Διακακη	 Μαρια	Μαρία Διακάκη		ΗΡΑΚΛΕΙΟΥ	syriza	Διακάκη Νικολάου Μαρία	Νικολάου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/diakaki.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=710d7bd5-3ca7-474a-9baa-22cbacfb666a	mariadiakaki2@gmail.com	17/6/2014				Αθήνα, Σέκερη 1, Τ.Κ. 10671,
72	Διαμαντοπουλος	 Ευαγγελος	Ευάγγελος Διαμαντόπουλος		ΚΑΣΤΟΡΙΑΣ	syriza	Διαμαντόπουλος Περικλή Ευάγγελος	Περικλή		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=a74c36e8-962a-40a3-a97a-4650d38931b9	v.diamanto@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
73	Διωτη	 Ηρω	Ηρώ Διώτη		ΛΑΡΙΣΗΣ	syriza	Διώτη Μαρίνου Ηρώ	Μαρίνου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/DIOTIIRO.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=131162e0-5f24-4577-85b0-ba78fdef77b4	irodioti@gmail.com	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,
74	Δραγασακης	 Γιαννης	Γιάννης Δραγασάκης		Β' ΑΘΗΝΩΝ	syriza	Δραγασάκης Ανδρέα Ιωάννης	Ανδρέα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/dragasakis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=69c27f82-03da-43d9-8bc7-c52051d0f176	ydragasakis@parliament.gr	17/6/2014				Βουλή των Ελλήνων, Βασ. Σοφίας 2, Τ.Κ. 10021,
75	Δριβελεγκας	 Γιαννης	Γιάννης Δριβελέγκας		ΧΑΛΚΙΔΙΚΗΣ	pasok	Δριβελέγκας Κωνσταντίνου Ιωάννης	Κωνσταντίνου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/drivelegasioannis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3f5718cc-0f4d-4d93-ba7a-3c32e430be45	gdriv10@otenet.gr	17/6/2014				Χαλκιδική, Νέα Μουδανιά, Γ.Παπανδρέου & Καρυωτάκη, Εμπορικό Κέντρο, Τ.Κ: 63200 τηλ.: 23730 21630, fax: 23730 21637. Χαλκιδική, Πολύγυρος: Γ. Τερτσέτη 6, Τ.Κ: 63100, τηλ.: 23710 21066 – 21046 fax: 23710 21236. Χαλκιδική, Ιερισσός, Τ.Κ: 63075, τηλ.: 23770 21015, fax: 23770 21016
76	Δριτσας	 Θεοδωρος	Θεόδωρος Δρίτσας 		Α' ΠΕΙΡΑΙΩΣ	syriza	Δρίτσας Παναγιώτη Θεόδωρος	Παναγιώτη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/dritsasth.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=88537272-1951-4a8f-82ed-b2bcf2b57cdc	synpirea@otenet.gr	17/6/2014				Ηρώων Πολυτεχνείου 16 – 7ος όροφος, 185 31 - Πειραιάς,
77	Δριτσελη	 Παναγιωτα	Παναγιώτα Δριτσέλη		ΤΡΙΚΑΛΩΝ	syriza	Δριτσέλη Ιωάννη Παναγιώτα	Ιωάννη		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=a582909e-ff2e-45f7-a9b6-aefe651e435f	pandritseli@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
78	Ζαρουλια	 Ελενη	Ελένη Ζαρούλια 		Β' ΑΘΗΝΩΝ	xa	Ζαρούλια Βασιλείου Ελένη	Βασιλείου			el.zaroulia@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
79	Ζαχαριας	 Κωνσταντινος	Κωνσταντίνος Ζαχαριάς		ΑΡΚΑΔΙΑΣ	syriza	Ζαχαριάς Παναγιώτη Κωνσταντίνος	Παναγιώτη		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=943fa44d-ac9a-44ba-942a-b74fd26c83bf	kozax@otenet.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
80	Ζειμπεκ	 Χουσειν	Χουσεΐν Ζεϊμπέκ		ΞΑΝΘΗΣ	syriza	Ζεϊμπέκ Χασάν Χουσεϊν	Χασάν	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/%ce%96%ce%b5%cf%8a%ce%bc%cf%80%ce%b5%ce%ba%20%ce%a7%ce%bf%cf%85%cf%83%ce%b5%ce%af%ce%bd.jpeg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=2265e9ea-73bd-44e4-a542-134d3505bdfb	zeybek@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
81	Ζερδελης	 Ιωαννης	Ιωάννης Ζερδελής		ΛΕΣΒΟΥ	syriza	Ζερδελής Χριστοφόρου Ιωάννης	Χριστοφόρου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=0509aa82-8a3e-4c19-ae21-4f82d9d66af2	izer61@otenet.gr	17/6/2014				Μυτιλήνη, Σμύρνης 7, Τ.Κ. 81100,
82	Ζησιμοπουλος	 Πολυβιος	Πολύβιος Ζησιμόπουλος 		Β' ΘΕΣΣΑΛΟΝΙΚΗΣ	xa	Ζησιμόπουλος Παναγιώτη Πολύβιος	Παναγιώτη			p.zisimopoulos@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
83	Ηλιοπουλος	 Παναγιωτης	Παναγιώτης Ηλιόπουλος 		ΜΑΓΝΗΣΙΑΣ	xa	Ηλιόπουλος Κωνσταντίνου Παναγιώτης	Κωνσταντίνου			p.iliopoulos@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
84	Θεοπεφτατου	 Αφροδιτη	Αφροδίτη Θεοπεφτάτου		ΚΕΦΑΛΛΗΝΙΑΣ	syriza	Θεοπεφτάτου Χρήστου Αφροδίτη	Χρήστου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=cb78242e-648c-49b5-9087-ccf732ec32c5	atheop@parliament.gr	17/6/2014				Αθήνα: Μητροπόλεως 1, Τ.Κ. 10557, Τηλ: 210 3709211 - 12, Fax: 210 3709210.
85	Ιατριδη	 Τσαμπικα	Τσαμπίκα Ιατρίδη 	Μίκα Ιατριδη	ΔΩΔΕΚΑΝΗΣΟΥ	anel	Ιατρίδη Ιωάννη Τσαμπίκα (Μίκα)	Ιωάννη			mika-iat@otenet.gr	17/6/2014	mika@iatridi.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709452, FAX: 210 3709450 Ρόδος, Κ. Τσαλδάρη 1, Τ.Κ. 85100, τηλ: 22410 36800, FAX: 22410 36808
86	Ιγγλεζη	 Αικατερινη	Αικατερίνη Ιγγλέζη 		ΧΑΛΚΙΔΙΚΗΣ	syriza						17/6/2014				
87	Ιωαννιδης	 Ιωαννης	Ιωάννης Ιωαννίδης		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Ιωαννίδης Δημητρίου Ιωάννης	Δημητρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/ioannidisgiannis.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=8d40591c-09ec-4b0c-abcc-93b6072b50ee	g.ioannidis@parliament.gr;	17/6/2014	http://www.giannisioannidis.gr			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709325-6, FAX: 210 3709329; Θεσσαλονίκη, Αγ. Σοφίας 16, Τ.Κ. 54622,; τηλ: 2310 254440-2, 254419 FAX: 2310 254434.
88	Κακλαμανης	 Αποστολος	Απόστολος Κακλαμάνης		Β' ΑΘΗΝΩΝ	pasok	Κακλαμάνης Μιχαήλ Νικήτας	Μιχαήλ	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kaklamanisnik.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=b222eb3e-adb2-476b-9d9e-72f3d4409e78	press@nkaklamanis.gr;	17/6/2014	http://www.nkaklamanis.gr			Αθήνα, Σκουφά 60, Τ.Κ. 106 80,; τηλ: 210 3612381, 3388122, 3388124, FAX: 210 3608590
89	Κακλαμανης	 Νικητας	Νικήτας Κακλαμάνης		Α' ΑΘΗΝΩΝ	nd	Κακλαμάνης Χρήστου Απόστολος	Χρήστου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/melas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=19f18481-17e5-4650-99d1-ae4ebc25cfb1	ak@apkaklamanis.gr	17/6/2014	http://www.apkaklamanis.gr			Αθήνα, Σολωμού 58, Τ.Κ. 10682, τηλ: 210 3608640, FAX: 210 3603852
90	Καλαντζης	 Γεωργιος	Γεώργιος Καλαντζής 		ΚΑΒΑΛΑΣ	nd	Καλαντζής Κωνσταντίνου Γεώργιος	Κωνσταντίνου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kalantzis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=d761ab33-89bd-4112-84d1-7e2dabde879f	kalangis@otenet.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,; τηλ: 210 3709325-6, FAX: 210 3709329; Αθήνα, Αμαλίας 14, Τ.Κ. 105 57,; τηλ: 210 3735324, FAX: 210 3735123,; Καβάλα, Κασσάνδρου 3, Τ.Κ. 65403,; τηλ: 2510 230677, 2510 833119, FAX: 2510 620188
91	Καλαφατης	 Σταυρος	Σταύρος Καλαφάτης		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Καλαφάτης Αθανασίου Σταύρος	Αθανασίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/kalafatisStavros_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=03e4757b-ddb5-4624-9d0d-f695f535ec70	info@stavroskalafatis.gr;	17/6/2014	http://www.stavros-kalafatis.gr			Αθήνα,; τηλ: 210 6475181-3 FAX: 210 6432589; Θεσσαλονίκη, Κατούνη 4, Τ.Κ. 54625,; τηλ: 2310 240712, 240714, FAX: 2310 240914
92	Καλογερη	 Αγνη	Αγνή Καλογερή		ΣΑΜΟΥ	syriza	Καλογερή Κωνσταντίνου Αγνή	Κωνσταντίνου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Agni-Kalogeri.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=f6b170b6-f4b8-45ec-89fd-15ac14fb05b3	dchrisag@hotmail.gr	17/6/2014				Αθήνα, Σέκερη 1, Τ.Κ. 10671,
93	Καλογιαννης	 Σταυρος	Σταύρος Καλογιάννης		ΙΩΑΝΝΙΝΩΝ	nd	Καλογιάννης Ελευθερίου Σταύρος	Ελευθερίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Kalogiannis2.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3ccda381-98e7-44f7-80f5-346a30ad810c	skaloyan@otenet.gr;	17/6/2014	skaloyan@parliament.gr;	http://www.stavroskalogiannis.gr		Ιωάννινα, Καλούδη 10, Τ.Κ. 45221,; τηλ: 26510 77247, 26665, FAX: 26510 77118; Αθήνα, Σέκερη 1, Τ.Κ. 10671,; τηλ: 210 3225695, FAX: 210 3675603
