"V1";"V2"
"103";"): Και εγώ σας ευχαριστώ.
Το λόγο έχει τώρα, ο Βουλευτής του ΠΑΣΟΚ του Νομού Ηρακλείου, κ. Βασίλειος Κεγκέρογλου.
Ορίστε, κύριε Κεγκέρογλου, έχετε το λόγο.";"Βέρα Νικολαΐδου"
"104";": Ευχαριστώ, κυρία Πρόεδρε.
Συζητούμε σήμερα ένα νομοσχέδιο, το οποίο κάνει άλλο ένα σημαντικό βήμα σε σχέση με την προστασία του περιβάλλοντος. Και λέω «άλλο ένα βήμα», διότι έχουν προηγηθεί σημαντικά νομοσχέδια, που ήρθαν το τελευταίο διάστημα, όπως αυτό που αφορούσε την αδειοδότηση: το νέο σύστημα περιβαλλοντικής αδειοδότησης. 
Προέχει να πω ότι χωρίς, πραγματικά, να γίνεται καμμία έκπτωση για την προστασία του περιβάλλοντος –αντίθετα ενισχύοντας το θεσμικό πλαίσιο- έχουμε και τους κανόνες για την ανάπτυξη, τους κανόνες για τη δραστηριοποίηση των επιχειρήσεων μέσα από μία συμβίωση, η οποία μπορεί να αποδώσει και να φέρει καρπούς στον τόπο. Η αειφόρος ανάπτυξη μένει γράμμα κενό, αν αυτό το πάντρεμα της ανθρώπινης δραστηριότητας δεν γίνει μέσα στο πλαίσιο της προστασίας του περιβάλλοντος.
Βέβαια, πρέπει να πούμε ότι πολλά ζητήματα που αναφέρονται στους νόμους δεν μπορούν να υλοποιηθούν, αν δεν υπάρχουν οι αντίστοιχες πολιτικές από τους φορείς. Αναφέρθηκε κάποιος συνάδελφος στην έλλειψη αναλυτικής αναφοράς στο θέμα της διαλογής στην πηγή, της ανακύκλωσης κ.λπ. 
Αυτά είναι ζητήματα πολιτικών. Θα πρέπει οι φορείς που είναι κοντά στους πολίτες να αξιοποιούν το θεσμικό πλαίσιο και να προχωρούν με εκπαίδευση, με συνέργεια με εθελοντικούς φορείς, κυρίως όμως να προχωρήσουν με έναν τοπικό σχεδιασμό, ο οποίος θα έχει και μεγάλη αξία, γιατί ο ίδιος ο πολίτης θα βλέπει να έχει αποτέλεσμα η δράση του, η συμμετοχή του σε αυτήν τη διαδικασία της προστασίας του περιβάλλοντος.
Βέβαια, θα πρέπει να πούμε ότι αυτό δεν πρέπει να αφεθεί στην τύχη του αλλά όπως η Ευρωπαϊκή Επιτροπή στα αρμόδια όργανα επιβάλλει πρόστιμα στην Ελλάδα για περιπτώσεις όπου δεν αντιμετωπίζονται σωστά τα ζητήματα διαχείρισης των απορριμμάτων –και έχουμε πρόστιμα στη χώρα- με τον ίδιο τρόπο σε εθνικό επίπεδο, θα πρέπει να υπάρχει η αντίστοιχη πρόβλεψη για τους φορείς είτε είναι δήμοι είτε είναι ΦΟΣΔΑ είτε οτιδήποτε, που είναι αρμόδιοι για να εφαρμόσουν ένα θεσμικό πλαίσιο και μία διαδικασία διαχείρισης στον τόπο τους. Αντίστοιχα ο φορέας σε αυτήν τη συνεργασία με τους πολίτες, να βλέπει πώς προχωράνε οι συγκεκριμένες πρωτοβουλίες, δηλαδή συγκεκριμένα τοπικά προγράμματα στην υλοποίηση τέτοιων σχεδιασμών.
Θεωρώ, λοιπόν, ότι η ενσωμάτωση αυτών των οδηγιών με την καθυστέρηση -την οποία επεσήμαναν και άλλοι- θα δώσει νέα ώθηση στο θέμα της αειφόρου ανάπτυξης και στο θέμα της αποτελεσματικής προστασίας του περιβάλλοντος.
Για τα ζητήματα που περιλαμβάνονται στο τρίτο μέρος, θα ήθελα κατ’ αρχάς να ξεκινήσω με μία παρατήρηση, σε σχέση με το θέμα της αυθαίρετης δόμησης και το πριν το ’82 ή το μετά το ’82, όπως το χώρισε ο κύριος Υπουργός. 
Θεωρώ ότι και μετά το ’82 σε πολλές περιοχές υπήρχε ζήτημα στέγασης, γι’ αυτό προχώρησαν σε αυθαίρετα. Δεν ξέρω τι έγινε εδώ στην Αττική, δεν ξέρω τι έγινε σε άλλες περιοχές -εάν είναι παραθεριστική κατοικία ή οτιδήποτε- όμως, το κύριο στοιχείο είναι ότι η πολιτεία τότε δεν μπορούσε να καλύψει τις ανάγκες λόγω μη ύπαρξης σχεδίων πόλης που θα μπορούσαν να απορροφήσουν τη μεγάλη μετακίνηση πληθυσμού που έγινε προς τις πόλεις. Από το ’82 και μετά, υπήρξε στην ύπαιθρο μία ανάπτυξη η οποία έφερε εισόδημα. Αυτό το εισόδημα επενδύθηκε στην πόλη. Και με τη λογική η οποία αναπτύχθηκε του δημοσίου υπαλλήλου, ή καλύτερα του υπαλλήλου των ΔΕΚΟ, ο περισσότερος κόσμος έτρεχε στις πόλεις. Δεν έτρεχε όπως στη δεκαετία του ’60, για να βρει δουλειά, λόγω του ότι δεν μπορούσε να αποδώσει η ύπαιθρος αλλά επειδή απέκτησε μία οικονομική δυνατότητα, μεταφέρθηκε στην πόλη. Και βέβαια η έλλειψη σχεδίων πόλης, τουλάχιστον στο νομό μου, οδήγησε στην αυθαίρετη δόμηση.
Είναι, λοιπόν, σημαντική η ευθύνη και των τοπικών φορέων, αλλά κυρίως της πολιτείας που και σήμερα δυστυχώς, με τρεις-τέσσερις υπαλλήλους το Υπουργείο προσπαθεί να προχωρήσει τα σχέδια πόλης. 
Κύριε Υπουργέ, αν δεν κάνετε ριζική αποκέντρωση στις διαδικασίες αυτές, δεν μπορούν να προχωρήσουν τα σχέδια πόλης, τουλάχιστον αυτά τα οποία έχουν να αντιμετωπίσουν πιεστικές οικιστικές ανάγκες. Θα έλεγα ότι οι αποκεντρωμένες διοικήσεις είναι μια σημαντική κρατική –δεν είναι αυτοδιοικητική- δομή και μπορεί να λειτουργήσει πάρα πολύ αποτελεσματικά για την ολοκλήρωση των σχεδίων πόλης. Θεωρώ ότι πρέπει να μπει διάταξη, όπου όποια αποκεντρωμένη διοίκηση το ζητήσει και έχει το ανθρώπινο δυναμικό, να μπορεί να συνδράμει αυτήν την προσπάθεια για την ολοκλήρωση των σχεδίων πόλης. 
Ένα δεύτερο θέμα, είναι αυτό που αναφέρθηκε ο Υπουργός για το άρθρο 14 του προεδρικού διατάγματος, το οποίο πολύ σωστά έθεσε σε διαβούλευση για ένα ακόμη μήνα. Ασφαλώς, υπάρχουν παρερμηνείες, υπάρχουν όμως και πραγματικότητες. Στις παρερμηνείες δεν είναι μόνο η πλευρά των απέξω, αλλά και εμείς δημιουργήσαμε αυτήν την εικόνα. 
Θεωρώ, κύριε Υπουργέ, ότι θα πρέπει μετά την ολοκλήρωση της διαβούλευσης στην αρμόδια επιτροπή να γίνει μια συζήτηση γι’ αυτό το θέμα, οπότε από εκεί και πέρα να πάρει το δρόμο του με τις παρατηρήσεις και με όλα αυτά τα οποία θα κρίνετε ότι πρέπει να ενταχθούν. Πάντως, είναι ένα τεράστιο θέμα, το οποίο δεν μπορεί να μένει σε εκκρεμότητα με τη μία ή την άλλη ερμηνεία. 
Για τις ρυθμίσεις των αυθαιρέτων, κατέθεσα γραπτές προτάσεις για αναγκαίες ρυθμίσεις, οι οποίες έπρεπε –και μπορούσαν- να μπουν και θα βοηθούσαν αλλά δεν ενσωματώθηκαν. Εντάξει, είναι ένα θέμα που το έχουμε τροποποιήσει πάρα πολλές φορές. Όμως, πρακτικά ζητήματα βοηθούν. 
Θα επιμείνω μόνο σε ένα, όταν δηλαδή ο ιδιοκτήτης αυθαιρέτου θέλει να καταβάλει ένα ποσό πολύ μεγαλύτερο από την πρώτη δόση αλλά μικρότερο από το συνολικό ποσό και δεν του επιτρέπεται. Και δεν του επιτρέπεται, γιατί δεν του δίδεται η ανάλογη έκπτωση. 
(Στο σημείο αυτό κτυπάει το κουδούνι λήξεως του χρόνου ομιλίας του κυρίου Βουλευτή)
Παρακαλώ, κυρία Πρόεδρε, θα ήθελα λίγο επιπλέον χρόνο. 
Σας αναφέρω για παράδειγμα ότι το πρόστιμο είναι 10.000. Αντί να δώσει την προκαταβολή 1.000 ευρώ και τα υπόλοιπα 9.000 να πάνε σε δόσεις ή να δώσει τα 10.000 συνολικά με την έκπτωση του 20%, οποιοδήποτε ποσό από τις 10.000 –φερ' ειπείν 4.000, 6.000 ευρώ- έχει τη δυνατότητα να καταθέσει, να μπορεί να κατατεθεί, να εισπραχθεί με την αντίστοιχη έκπτωση του 20% και το υπόλοιπο ποσό να πάει με δόσεις. Είναι ένα απλό πράγμα που δεν αλλάζει τη λογική και τη δομή της μέχρι τώρα διαδικασίας και του νομοσχεδίου. 
Θέλω να πω ότι από την τροπολογία, την οποία καταθέσαμε...";"ΒΑΣΙΛΕΙΟΣ ΚΕΓΚΕΡΟΓΛΟΥ"
"105";"): Και με αυτό ολοκληρώστε παρακαλώ.";"Βέρα Νικολαΐδου"
"106";": ...και αφορούσε πάρα πολλές περιοχές, έγινε αποδεκτή κατά τα 2/3 ως προς τα τοπογραφικά και με τα θεωρημένα αποσπάσματα από τοπογραφικά που υπάρχουν –δεν γίνεται καμμία έκπτωση στη λογική που υπάρχει- θα μπορούν να γίνουν οι μεταβιβάσεις στις περιπτώσεις όπου είναι ενταγμένα στο ΟΣΔΕ ή είναι σε αναδασμό ή είναι από διανομή και θα έχουμε μικρής αξίας ιδιοκτησίες να μην επιβαρύνονται με επιπλέον κόστος. 
Επιτρέψτε μου να πω μια κουβέντα για τους τεχνολόγους, κυρία Πρόεδρε, γιατί κάθε φορά που έχουμε συζήτηση στη Βουλή για ένα θέμα που έχει να κάνει με επαγγελματικά δικαιώματα, όλοι μένουμε μπροστά σε μια αντιπαράθεση μηχανικών, τεχνολόγων κ.λπ.. Νομίζω ότι αυτό πρέπει άπαξ να το δούμε και να το εξετάσουμε και να μην έχουμε κάθε φορά τη μία ή την άλλη συντεχνία.
Στο συγκεκριμένο θέμα που έχει τεθεί –παραδείγματος χάριν για τα κτήρια- το τμήμα...";"ΒΑΣΙΛΕΙΟΣ ΚΕΓΚΕΡΟΓΛΟΥ"
"107";"): Παρακαλώ. Έχει τελειώσει ο χρόνος σας προ πολλού.";"Βέρα Νικολαΐδου"
"108";": Ναι, ναι, κυρία Πρόεδρε.";"ΒΑΣΙΛΕΙΟΣ ΚΕΓΚΕΡΟΓΛΟΥ"
"109";"): «Ναι, ναι», αλλά δεν κλείνετε.";"Βέρα Νικολαΐδου"
"110";": Το Τμήμα Ανακαίνισης Κτηρίων του Τ.Ε.Ι. έχει τους αποφοίτους με τα αντίστοιχα επαγγελματικά δικαιώματα για την αντίστοιχη δουλειά. Να μην κάνουμε περιπτωσιολογία, αλλά άπαξ να καθίσουμε να δούμε ποιοι είναι πού –και σε συνεργασία με το Υπουργείο Παιδείας που είναι αρμόδιο- προκειμένου να επιλύσουμε αυτά τα προβλήματα. 
Σας ευχαριστώ, κυρία Πρόεδρε.";"ΒΑΣΙΛΕΙΟΣ ΚΕΓΚΕΡΟΓΛΟΥ"
"111";"): Και εγώ σας ευχαριστώ, κύριε Κεγκέρογλου. Επ’ αυτών που θέσατε, θα απαντήσει ο Υπουργός. 
Το λόγο έχει ο Ανεξάρτητος Βουλευτής Αχαΐας κ. Νικόλαος Τσούκαλης.";"Βέρα Νικολαΐδου"
"112";": Ευχαριστώ πολύ, κυρία Πρόεδρε. 
Ως Δημοκρατική Αριστερά, κυρία Πρόεδρε, προβληματιστήκαμε πάρα πολύ για το τι θέση θα πάρουμε, όσον αφορά την αρχή του νομοσχεδίου, δηλαδή αν θα τοποθετηθούμε υπέρ ή κατά. Αυτό βεβαίως, οφείλεται στο γεγονός ότι το περιεχόμενο του νομοσχεδίου διαμορφώνει διάφορα ισοζύγια, τα οποία μας δυσκόλευαν πάρα πολύ στο να κρίνουμε και να αξιολογήσουμε ποιο βαραίνει περισσότερο απ’ όλα. 
Παραδείγματος χάριν, τα δύο πρώτα κεφάλαια που αφορούν την ενσωμάτωση των δύο οδηγιών 98 και 99 είναι προφανές ότι τα στηρίζουμε. Το δηλώσαμε και στην Επιτροπή. Όμως, το Κεφάλαιο Γ’ το οποίο έρχεται να διορθώσει –κατά την εκτίμησή μας- προηγούμενες λανθασμένες επιλογές σε καμμία περίπτωση δεν θα μπορούσε να μας βρει σύμφωνους σε πολλά του σημεία, τα οποία θεωρούμε ότι είναι τόσο, μα τόσο πολύ σοβαρά που δεν μας επιτρέπουν να τοποθετηθούμε θετικά στο συγκεκριμένο νομοσχέδιο.
Εκτός από αυτό, αποδεχόμαστε πλήρως τη γενική αξιολόγηση της έκθεσης της οικονομικής και κοινωνικής επιτροπής που διαπιστώνει ότι το συγκεκριμένο νομοσχέδιο αποτελεί άθροισμα περιβαλλοντικών διατάξεων, χωρίς ενιαίο υπόβαθρο συνεκτικής περιβαλλοντικής πολιτικής. Αυτή, λοιπόν, η θέση και η αξιολόγηση μάς οδηγεί στο να είμαστε αρνητικοί επί της αρχής στο συγκεκριμένο νομοσχέδιο.
Στη σύντομη τοποθέτηση και παρέμβασή μου θα περιοριστώ στα δύο πρώτα κεφάλαια, δηλαδή αυτά της ενσωμάτωσης των δύο οδηγιών και θα αναφερθώ επί των άρθρων στο Κεφάλαιο Γ’ στη συζήτηση επί των άρθρων στην αυριανή συνεδρίαση. 
Κυρίες και κύριοι συνάδελφοι, όσον αφορά την προστασία του περιβάλλοντος μέσω του Ποινικού Δικαίου, η Ελλάδα έχει ένα πρωτοποριακό θεσμικό πλαίσιο, το άρθρο 28 του ν. 1650/1986, με την εικοσιεξάχρονη ισχύ του, η οποία δοκιμάστηκε πάρα πολύ, με πενιχρά, μπορώ να πω, αποτελέσματα. Ήταν πενιχρά, όχι επειδή δεν ήταν επαρκής η διατύπωση του συγκεκριμένου άρθρου, αλλά –όπως συνήθως συμβαίνει στη χώρα- γιατί ποτέ δεν λειτούργησαν οι δομές και οι θεσμοί που ήταν επιφορτισμένοι να το εφαρμόσουν. 
Η ισχύς του συγκεκριμένου άρθρου δεν έχει τύχει μέχρι τώρα καμμίας αξιολόγησης και επεξεργασίας, στο κατά πόσο δηλαδή βοήθησε πραγματικά στο να υπάρξει η τιμωρία όλων όσων επιβάρυναν το περιβάλλον το προηγούμενο χρονικό διάστημα. Το έχει αποφύγει αυτό και κατά τη συζήτηση του συγκεκριμένου νομοσχεδίου. 
Όμως, στο συγκεκριμένο άρθρο, κυρία Πρόεδρε, εκτός από τον ποινικό κολασμό της περιβαλλοντικής παραβίασης, υπάρχουν και διατάξεις για διοικητικές κυρώσεις. Το ερώτημα που τίθεται, αξιολογώντας αυτές τις συγκεκριμένες διατάξεις και την εφαρμογή τους, είναι στο κατά πόσο η βασική αρχή της Ευρωπαϊκής Ένωσης, του ευρωπαϊκού θεσμικού πλαισίου «ο ρυπαίνων πληρώνει» έχει εφαρμοστεί σε αυτήν εδώ τη χώρα. 
Θα ήταν πάρα πολύ ενδιαφέρον, κυρία Πρόεδρε, αν είχαμε έναν κατάλογο του αριθμού των προστίμων που έχουν επιβληθεί από το 1986 μέχρι σήμερα και πόσα από αυτά τα πρόστιμα έχουν εισπραχθεί, ούτως ώστε να μιλάμε πραγματικά για τη γενική και ειδική αποτροπή όσον αφορά τις συγκεκριμένες παραβάσεις. 
Ο απολογισμός θα ήταν μία πολύ «πονεμένη ιστορία», θα υπεδείκνυε την πλήρη αναξιοπιστία του ελληνικού δημοσίου. Θα μου επιτρέψετε να πω, όμως, ότι συνιστά μία ηθελημένη επιλογή του πολιτικού συστήματος να μην εισπράττονται τα πρόστιμα αυτά. 
Όσον αφορά τη Β΄ Ενότητα, αυτή της διαχείρισης των αποβλήτων, κυρία Πρόεδρε, όπως είπα και στην επιτροπή, ολοκληρωμένο θεσμικό πλαίσιο διαχείρισης στερεών αποβλήτων υπάρχει και μάλιστα, ενσωματωμένο στην εγχώρια νομική τάξη πολύ πριν το 1996. Μάλιστα, οι πρώτες κοινές υπουργικές αποφάσεις εκδόθηκαν το 1996-1997. Αυτό το θεσμικό πλαίσιο, τηρουμένων των αναλογιών, προέβλεπε ολοκληρωμένη διαχείριση στερεών αποβλήτων και –αν θέλετε- με όλα τα στάδια και όλες τις διαδικασίες που προβλέπονται και από το υφιστάμενο θεσμικό πλαίσιο. 
Όμως, κανένας δεν μας έχει απαντήσει μέχρι σήμερα, γιατί παραδείγματος χάριν από τότε μέχρι σήμερα δεν έχει υπάρξει εκπόνηση πλήρων σχεδίων περιφερειακής διαχείρισης. 
Θα ήθελα να θυμίσω ότι τα υφιστάμενα περιφερειακά σχέδια διαχείρισης στερεών αποβλήτων, που εγκρίθηκαν από το 2004, ουσιαστικά συνιστούν απλή συγκόλληση των προηγούμενων νομαρχιακών σχεδιασμών. Έτσι, λοιπόν, προβλέπεται, παραδείγματος χάριν, στην Ελλάδα σε κάθε νομό ένα εργοστάσιο επεξεργασίας ή προβλέπονται ΧΥΤΑ δύο ή τρεις σε κάθε νομό. Είναι εκτός τόπου και χρόνου, δηλαδή, όσον αφορά τη σύγχρονη αντίληψη διαχείρισης των στερεών αποβλήτων. 
Χαρακτηριστικό είναι το γεγονός ότι υπάρχει πλήρης νομοθεσία για τα απόβλητα από εκσκαφές, κατασκευές και κατεδαφίσεις και μάλιστα, τα υλικά αυτά έχουν χαρακτηριστεί από την Ευρωπαϊκή Ένωση ως «ρεύμα πρωταρχικής σημασίας». Υπάρχει νομοθετικό πλαίσιο για τις συσκευασίες και την εναλλακτική διαχείριση συσκευασιών, ο ν. 2939/2001 και μάλιστα, έχει εκδοθεί υπουργική απόφαση, υπ’ αρθμ. 36259/2010, όσον αφορά τη διαχείριση αυτών των συγκεκριμένων αποβλήτων. Έκανα ερώτηση πρόσφατα. Η απάντηση είναι ότι γενικώς προωθείται η διαδικασία εκπόνησης των μελετών κ.λπ.. Μέχρι τώρα όλη η Ελλάδα, όλα τα ρέματα είναι γεμάτα με μπάζα, απόβλητα τέτοιου είδους. 
Θέλω να πω με λίγα λόγια ότι όσο πλήρης και αν είναι η συγκεκριμένη ενσωμάτωση της οδηγίας, την οποία εμείς χαρακτηρίζουμε θετική, εάν δεν υπάρξει πραγματική βούληση της πολιτικής ηγεσίας, του ελληνικού δημοσίου, του ελληνικού κράτους αυτά τα πράγματα να τα επιβάλει και μάλιστα, πολλές φορές, κόντρα σε τοπικίστικες και άλλες αντιλήψεις, δεν υπάρχει περίπτωση να γίνει τίποτα σε αυτήν εδώ τη χώρα. 
Επιφυλάσσομαι αύριο να τοποθετηθώ επί των άρθρων του Γ΄ Κεφαλαίου.
Ευχαριστώ πολύ.";"ΝΙΚΟΛΑΟΣ ΤΣΟΥΚΑΛΗΣ"
"113";"): Και εγώ σας ευχαριστώ. 
Συνεχίζουμε με τη Βουλευτή Νομού Ηρακλείου του ΠΑΣΟΚ κ. Μαρία Σκραφνάκη.";"Βέρα Νικολαΐδου"
"114";": Κύριε Υπουργέ, κυρίες και κύριοι συνάδελφοι, η σημασία του υπό συζήτηση νομοσχεδίου είναι διπλή, αφού περιλαμβάνει την ενσωμάτωση στην ελληνική νομοθεσία δύο πολύ σημαντικών οδηγιών της Ευρωπαϊκής Ένωσης, που στόχο έχουν την προστασία του περιβάλλοντος και αφού περιλαμβάνει, επίσης, ρυθμίσεις χωροταξικού και πολεοδομικού περιεχομένου. 
Στόχος της πρώτης οδηγίας είναι η δημιουργία ενός ενιαίου πλαισίου προστασίας του περιβάλλοντος για όλη την Ευρωπαϊκή Ένωση, ώστε να σταματήσει η διαφορετική αντιμετώπιση των περιβαλλοντολογικών εγκλημάτων από τα διάφορα κράτη-μέλη και να μην μπορούν οι επιτήδειοι δράστες να εκμεταλλεύονται προς όφελός τους τις υφιστάμενες διαφορές μεταξύ των νομοθεσιών των επιμέρους κρατών. 
Συγκεκριμένα, υιοθετείται κατάλογος σοβαρών περιβαλλοντολογικών αδικημάτων που θα θεωρούνται σε όλα τα κράτη-μέλη της Ευρωπαϊκής Ένωσης ποινικά αδικήματα και αυστηροποιούνται οι ποινές που θα επιβάλλονται, σε περίπτωση σοβαρών περιβαλλοντολογικών εγκλημάτων. 
Επίσης, με το παρόν νομοσχέδιο υιοθετείται μια δεύτερη ευρωπαϊκή οδηγία που αφορά τη διαχείριση των αποβλήτων. 
Ειδικότερα, θεσπίζονται ενιαίοι κανόνες διαχείρισης των αποβλήτων με την κατάρτιση εθνικού σχεδιασμού διαχείρισης των αποβλήτων, με στόχο τη μείωση των περιβαντολλογικών επιπτώσεων από την παραγωγή και διαχείρισή τους και εφαρμόζεται η αρχή «ο ρυπαίνων πληρώνει». 
Οι ρυθμίσεις αυτές, κυρίες και κύριοι συνάδελφοι, είναι σωστές. Το πρόβλημα, όμως, κύριε Υπουργέ, όπως καλά γνωρίζετε, είναι πώς θα τα εφαρμόσουμε όλα αυτά. 
Θέλω να απαντήσω και στο συνάδελφο τον κ. Τσούκαλη ότι πράγματι υπήρχαν πολλές φορές περιφερειακοί σχεδιασμοί για τη διαχείριση των αποβλήτων. Το θέμα είναι πώς θα εφαρμοστούν. 
Και χαίρομαι πάρα πολύ που μια ομάδα ανθρώπων, ειδικά στη Δυτική Μακεδονία -το γνωρίζετε, κύριε Υπουργέ, αυτό- με επικεφαλής τότε τον Υφυπουργό, σήμερα τον κ. Κουκουλόπουλο, με όλους τους δημάρχους στη Δυτική Μακεδονία –και είναι η μόνη περιφέρεια στη χώρα- καταφέραμε πρώτοι και υλοποιήσαμε τον περιφερειακό σχεδιασμό για τα απορρίμματα. 
Επειδή τίθεται ξανά το θέμα αυτό, θα ήθελα να προσθέσω ότι στον περιφερειακό σχεδιασμό οπωσδήποτε θα πρέπει σε κάθε περιφέρεια να προβλεφθεί και ένα εργοστάσιο υποχρεωτικά –δεν με ενδιαφέρει τι θα είναι, καύσης ή οτιδήποτε άλλο- πέρα από τα ΧΥΤΑ, τα ΧΥΤΥ κ.λπ.. 
Βέβαια, πρέπει να υπάρχει η πολιτική βούληση όλων, για να εφαρμοστούν όλα αυτά που αφορούν τα απορρίμματα, διότι κανένας δεν θέλει να πάει ένας ΧΥΤΑ δίπλα από το χωριό του. Όμως, θα πρέπει να αποφασίσουν οι περιφέρειες, οι δήμαρχοι ότι τα απορρίμματα θα πρέπει να τα διαχειριστούν, διότι είναι αμαρτία Θεού να πληρώνουμε πρόστιμα στην Ευρωπαϊκή Ένωση, τα λεφτά που δεν έχουμε και να μην μπορούμε τόσα χρόνια να λύσουμε τα θέματα των απορριμμάτων. 
Επίσης, αντικείμενο του συγκεκριμένου νομοσχεδίου είναι και η ρύθμιση πολεοδομικών θεμάτων. Με αφορμή αυτό θα ήθελα να ζητήσω, κύριε Υπουργέ, την προώθηση των πολεοδομικών σχεδίων, των πολεοδομικών μελετών που εκκρεμούν στο Υπουργείο σας. Αυτό μπορεί να γίνει με δύο τρόπους: Ή με ενίσχυση της αρμόδιας υπηρεσίας με άτομα, αποσπάσεις από άλλες υπηρεσίες του Υπουργείου σας ή με το να αποκεντρωθούν στις επιμέρους κρατικές περιφέρειες. Τώρα ήδη είναι τετρακόσια σχέδια στο ΥΠΕΚΑ, κάθονται οι φάκελοι και δεν τους ανοίγει κανείς. 
Χαίρομαι, επίσης, που ξεκαθαρίσατε σήμερα στη Βουλή ότι τα εκτός σχεδίου ακίνητα που θα είναι εντός γενικού πολεοδομικού σχεδίου δεν θα έχουν κανένα πρόβλημα στην ανοικοδόμησή τους. 
Θα ήθελα να σας θέσω, όμως, ένα θέμα, κύριε Υπουργέ, ότι οι αμοιβές για τις μελέτες των γενικών πολεοδομικών σχεδίων είναι πάρα πολύ μεγάλες και αδυνατούν οι δήμοι μέσα σε αυτές τις καταστάσεις να δώσουν 1 και 1,5 εκατομμύριο ευρώ για μελέτες γενικού πολεοδομικού σχεδίου. Αν δείτε τις μελέτες των ρυθμιστικών που έχει αναθέσει το Υπουργείο σας, είναι σε πολύ χαμηλές τιμές σε σχέση με τις μελέτες των γενικών πολεοδομικών σχεδίων. 
Επίσης, πρέπει πρώτον, να γίνει αναπροσαρμογή του τιμολογίου και δεύτερον, πρέπει –αν μπορείτε- να δώσετε από το Πράσινο Ταμείο χρήματα στους δήμους που δεν εκπονούν γενικά πολεοδομικά σχέδια. 
Τώρα, σχετικά με τη ρύθμιση των αυθαιρέτων, είναι θετικό το ότι υπάρχει ο νόμος αυτός που ψηφίσαμε, που δίνει κάποια διέξοδο και που έγινε για πρώτη φορά μετά το 1983.
Όμως τα ποσά των προστίμων είναι πολύ μεγάλα. Δεν μπορούν να αντεπεξέλθουν οι πολίτες. Επίσης, πρέπει να δοθεί μία παράταση. Κύριε Υπουργέ, λήγει σε λίγες ημέρες ο χρόνος. Τι θα κάνετε; Θα πάτε να κατεδαφίσετε τα αυθαίρετα; Στο νομό μου, μόνο το 10% των ανθρώπων -κι αν είναι και τόσο το ποσοστό- προσήλθαν για να ρυθμίσουν τα θέματα των αυθαιρέτων. Και αύξηση των δόσεων πρέπει να δώσετε και παράταση χρόνου και μείωση των τιμών. 
Επίσης, τα ακίνητα που είναι χτισμένα προ του ’83 -τα οποία μεταβιβάζονταν με το νόμο του Τρίτση- με το νόμο που κάναμε, τώρα οι άνθρωποι δεν μπορούν να τα μεταβιβάσουν. Φέραμε δηλαδή αυτούς τους ιδιοκτήτες, που ήδη έχουν μεταβιβάσει στα παιδιά τους ή κάποιους που αγόρασαν, σήμερα να πρέπει να βρουν μηχανικό να τα τακτοποιήσει. Ενώ δεν πλήρωνε κι ενώ μπορούσε πριν να μεταβιβάσει, τους φέρνουμε σε δυσχερέστερη θέση. 
Πρέπει αυτό το θέμα να το επαναφέρουμε στην κατάσταση που ήταν πριν. Στην ανάγκη, οι μεταβιβάσεις να γίνονται με υπεύθυνη δήλωση των ιδιοκτητών, των μηχανικών και με τοπογραφικό και να καταγράφονται στο Υπουργείο, για να ξέρουμε πράγματι ποια είναι η κατάσταση. Όμως, δεν μπορεί αυτοί οι πολίτες να είχαν το δικαίωμα και μεταβίβασης και να μην πληρώναν και τίποτα και τώρα να τους λέμε «ελάτε να πληρώσετε και να μην μπορείτε να μεταβιβάσετε». Το ίδιο το κράτος τούς είχε δώσει αυτήν τη δυνατότητα. Δεν υπάρχει συνέχεια. Αυτό το έχω επαναφέρει πολλές φορές και σας παρακαλώ πολύ –κι άλλοι συνάδελφοι το θέτουν- να ξαναδούμε αυτό το θέμα. 
Τα τοπογραφικά για τις μεταβιβάσεις είναι σωστό. 
Όσον αφορά στους υπομηχανικούς, δεν καταλαβαίνω γιατί ερχόμαστε κάθε φορά και νομοθετούμε και λέμε «μόνο οι πολιτικοί μηχανικοί». Εμένα και ο άντρας μου πολιτικός μηχανικός είναι και τα παιδιά μου του Πολυτεχνείου, αλλά από την ώρα που υπάρχουν και ΤΕΙ κι έχουν δικαιώματα θεσμοθετημένα από το Υπουργείο Παιδείας, δεν θα ερχόμαστε εμείς αποσπασματικά εδώ να νομοθετούμε. Νομίζω κι αυτό πρέπει να το διορθώσετε. 
Κατά τα άλλα, είναι στη σωστή κατεύθυνση το νομοσχέδιό σας και γι’ αυτό και το ψηφίζω. 
Σας ευχαριστώ πολύ.";"ΜΑΡΙΑ ΣΚΡΑΦΝΑΚΗ"
"115";"): Κι εγώ σας ευχαριστώ.
Το λόγο έχει ο Βουλευτής Άρτας του ΠΑΣΟΚ, κ. Δημήτριος Τσιρώνης.";"Βέρα Νικολαΐδου"
